sample	age	phenotype_age
SP0489	19	24.0855333333333
SP0490	45	33.8451333333333
SP0491	23	26.7858333333333
SP0492	24	27.6249666666667
SP0493	49	40.7372666666667
SP0494	46	36.4502333333333
SP0495	23	23.6580666666667
SP0496	21	26.4253666666667
SP0497	22	22.8867
SP0498	21	26.4629333333333
SP0499	19	43.1452666666667
SP0500	21	24.6576333333333
SP0501	21	22.1338333333333
SP0502	21	25.5941333333333
SP0503	21	24.3577333333333
SP0504	31	23.1149
SP0505	30	25.8055666666667
SP0506	18	27.0785666666667
SP0507	19	23.0056
SP0508	21	27.2104666666667
SP0509	19	25.7833333333333
SP0510	19	25.1477666666667
SP0511	20	25.4435666666667
SP0512	20	22.2989666666667
SP0513	21	24.5575333333334
SP0514	20	28.5181
SP0515	22	24.0490333333333
SP0516	19	21.6652666666667
SP0517	19	22.2797333333333
SP0518	21	25.4282333333333
SP0519	20	28.9822
SP0520	20	24.3865
SP0521	19	23.3496333333333
SP0522	24	27.0817666666667
SP0523	46	30.928
SP0524	32	23.8141
SP0525	33	45.42
SP0526	53	40.0997
SP0527	44	32.5468333333333
SP0528	25	25.3461333333333
SP0529	33	27.0167
SP0530	37	26.7666333333333
SP0531	41	50.3479333333334
SP0532	43	24.7442333333333
SP0533	31	29.2040333333333
SP0534	20	32.3561333333333
SP0535	53	42.7543333333333
SP0536	63	57.8188333333333
SP0537	29	37.3775333333334
SP0538	63	53.1898333333333
SP0539	58	47.8144
SP0540	30	30.5902333333333
SP0541	37	25.5754333333333
SP0542	27	32.5669
SP0543	37	27.9615666666667
SP0544	36	28.438
SP0545	60	60.686
SP0546	56	49.9265333333334
SP0547	57	39.9769666666667
SP0548	57	57.6494333333333
SP0549	82	59.7003666666667
SP0550	53	59.4441
SP0551	48	41.6111
SP0552	30	42.8679666666667
SP0553	58	58.3528
SP0554	37	26.1801333333333
SP0555	32	37.6885
SP0556	37	41.9285
SP0557	38	25.5722666666667
SP0558	56	53.1728666666667
SP0559	61	52.9302333333333
SP0560	31	33.1157666666667
SP0561	56	51.8108
SP0562	52	36.5645333333334
SP0563	33	28.4293
SP0564	69	54.8885666666667
SP0565	55	54.2871666666667
SP0566	30	23.2977
SP0567	58	51.7794
SP0568	34	25.5973333333333
SP0569	31	29.6668666666667
SP0570	30	27.1863333333333
SP0571	41	34.2323
SP0572	43	31.4995333333333
SP0573	38	24.7961
SP0574	41	30.5775333333333
SP0575	45	29.4613666666667
SP0576	38	34.1784333333333
SP0577	43	29.7104666666667
SP0578	24	44.8732666666667
SP0579	25	28.8879333333333
SP0580	33	26.8204333333333
SP0581	39	29.9609666666667
SP0582	24	23.8894666666667
SP0583	24	29.9023333333333
SP0584	23	31.5124666666667
SP0585	25	25.0725666666667
SP0586	26	25.1944333333333
SP0587	24	24.8981
SP0588	26	24.4274666666667
SP0589	30	33.0013333333333
SP0590	22	24.3242666666667
SP0591	24	29.9999666666667
SP0592	22	26.4738333333333
SP0593	23	41.5413
SP0594	23	24.5331333333333
SP0595	25	25.7884333333333
SP0596	24	23.236
SP0597	35	30.0179666666667
SP0598	32	29.9947333333333
SP0599	32	32.1831
SP0600	26	29.8865
SP0601	23	27.0268
SP0602	23	23.0821333333333
SP0603	24	24.9610333333333
SP0604	27	24.9668
SP0605	28	25.1478333333333
SP0606	27	26.8939666666667
SP0607	23	25.1762333333333
SP0608	24	25.8559
SP0609	23	31.1541666666667
SP0610	31	29.1985333333333
SP0611	27	28.6671666666667
SP0612	24	21.8827
SP0613	23	27.0095666666667
SP0614	22	28.8073666666667
SP0615	25	23.4759666666667
SP0616	21	26.0199
SP0617	21	28.7055666666667
SP0618	25	39.5295
SP0619	31	23.8659
SP0620	31	23.0791666666667
SP0621	34	40.2308666666667
SP0622	24	29.0988
SP0623	24	24.3604
SP0624	26	25.5071666666667
SP0625	28	36.4462333333333
SP0626	27	24.1603
SP0627	21	24.3745666666667
SP0628	28	29.2986333333333
SP0629	38	39.529
SP0630	28	26.3667
SP0631	71	59.6205333333333
SP0632	50	49.8520333333333
SP0633	52	43.2397
SP0634	26	35.7664333333333
SP0635	24	24.468
SP0636	27	28.6966
SP0637	24	25.6155666666667
SP0638	24	25.3313666666667
SP0639	29	23.9977333333333
SP0640	26	27.3003
SP0641	23	30.9712333333333
SP0642	24	34.8988333333333
SP0643	47	38.3660666666667
SP0644	27	34.2392666666667
SP0645	29	36.4711
SP0646	24	30.8043666666667
SP0647	26	34.1767333333333
SP0648	36	32.7088666666667
SP0649	34	34.2791333333333
SP0650	55	41.7214666666667
SP0651	28	31.4758
SP0652	30	32.1858666666667
SP0653	28	43.2230333333334
SP0654	58	38.5832
SP0655	37	36.1418333333334
SP0656	38	28.5785333333333
SP0657	39	30.1093666666667
SP0658	31	28.9379333333333
SP0659	33	29.4334333333333
SP0660	34	32.139
SP0661	35	28.9372333333333
SP0662	35	28.1305
SP0663	32	28.909
SP0664	25	30.8352333333333
SP0665	29	31.6095333333333
SP0666	37	31.9916333333333
SP0667	28	28.9853
SP0668	30	28.0429666666667
SP0669	31	28.0371
SP0670	34	28.5003333333333
SP0671	32	30.1456666666666
SP0672	37	26.9295333333333
SP0673	25	28.9520666666667
SP0674	25	26.9778666666667
SP0675	25	30.6054333333333
SP0676	55	32.5992
SP0677	46	36.6427333333333
SP0678	31	28.2346666666667
SP0679	33	30.231
SP0680	28	30.6930333333333
SP0681	32	26.4585333333334
SP0682	59	48.2523666666667
SP0683	39	44.5465333333333
SP0684	25	27.4157666666667
SP0685	51	37.7066666666667
SP0686	37	26.8907666666667
SP0687	29	29.9201333333333
SP0688	32	28.3591333333333
SP0689	33	38.5208
SP0690	24	31.8343
SP0691	28	29.7064333333333
SP0692	32	39.7122
SP0693	28	28.2705
SP0694	29	28.3081333333333
SP0695	28	26.1321666666666
SP0696	29	23.9043333333333
SP0697	35	27.543
SP0698	24	25.6836333333333
SP0699	37	30.1388
SP0700	40	43.1108666666667
SP0701	60	47.2837
SP0702	33	31.9532
SP0703	39	37.1084333333334
SP0704	35	31.0061333333333
SP0705	28	31.5021333333334
SP0706	23	25.7258
SP0707	27	26.7401666666667
SP0708	27	25.5315
SP0709	26	23.7901666666667
SP0710	24	28.425
SP0711	52	40.1837666666667
SP0712	30	27.1727666666667
SP0713	31	25.0722666666667
SP0714	22	31.5878
SP0715	24	22.0219333333333
SP0716	57	59.0036666666666
SP0717	42	34.3139666666667
SP0718	66	59.6335333333333
SP0719	24	28.6804666666667
SP0720	30	26.4437333333333
SP0721	55	39.9802666666667
SP0722	24	33.3009
SP0723	22	24.5639333333333
SP0724	22	22.7539333333333
SP0725	27	23.7010666666667
SP0726	22	25.0752
SP0727	45	30.1963333333333
SP0728	37	30.1941
SP0729	22	25.5574
SP0730	31	28.5033333333334
SP0731	42	34.7871333333333
SP0732	24	37.4583666666667
